# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.09977
# Diagonal elements of inverse mass matrix:
# 0.254165
-10.9708,0.960317,1.09977,2,3,0,11.1701,0.549115
-11.0141,0.973441,1.09977,2,3,0,11.1058,0.601026
-11.1603,0.983204,1.09977,2,3,0,11.1701,0.484459
-10.9825,0.99099,1.09977,1,3,0,11.1831,0.585608
-11.0434,0.992783,1.09977,2,3,0,11.0437,0.611074
-11.0434,0.720404,1.09977,1,3,0,12.0764,0.611074
-11.0434,0.615321,1.09977,1,3,0,12.5565,0.611074
-11.0784,0.989874,1.09977,1,1,0,11.0954,0.620754
-11.4212,0.907678,1.09977,1,1,0,11.4231,0.676963
-12.3353,0.724868,1.09977,1,3,0,13.4274,0.358835
-11.9541,1,1.09977,1,1,0,12.4541,0.388321
-10.9937,0.990221,1.09977,2,3,0,12.0087,0.592026
-11.231,0.947297,1.09977,1,3,0,11.2328,0.650842
-11.231,0.867425,1.09977,1,1,0,11.6287,0.650842
-11.3985,0.95493,1.09977,1,1,0,11.4456,0.674219
-11.3985,0.806156,1.09977,1,1,0,12.0393,0.674219
-10.9657,0.990265,1.09977,2,3,0,11.4437,0.557846
-11.322,0.906965,1.09977,1,3,0,11.3869,0.664311
-11.4019,0.978493,1.09977,1,1,0,11.4873,0.674637
-11.3305,1,1.09977,1,1,0,11.4718,0.665466
-13.8708,0.576811,1.09977,1,3,0,13.9411,0.822875
-13.202,1,1.09977,1,1,0,14.1055,0.796914
-11.2183,1,1.09977,1,3,0,12.7349,0.648769
-10.9657,0.996878,1.09977,1,3,0,11.1879,0.557925
-10.9654,1,1.09977,1,1,0,10.9657,0.559194
-10.9651,0.623316,1.09977,2,3,0,13.4473,0.560613
-11.1,0.856164,1.09977,2,3,0,11.7155,0.625961
-10.9913,1,1.09977,1,1,0,11.0681,0.590763
-11.6316,0.854248,1.09977,1,3,0,11.6637,0.699394
-11.1564,0.918494,1.09977,2,3,0,12.2497,0.485235
-11.7928,0.925415,1.09977,2,3,0,11.7983,0.402754
-12.1157,0.909931,1.09977,1,1,0,12.3087,0.375144
-10.9811,0.976689,1.09977,2,3,0,12.236,0.58467
-10.9897,0.985669,1.09977,2,3,0,11.0577,0.589915
-11.1067,0.553384,1.09977,2,3,0,14.0655,0.627501
-10.9974,1,1.09977,2,3,0,11.0752,0.593841
-11.2381,0.961426,1.09977,2,3,0,11.2842,0.470214
-11.5509,0.909168,1.09977,1,1,0,11.5923,0.427669
-11.5835,0.990248,1.09977,1,1,0,11.756,0.424024
-11.3138,1,1.09977,1,1,0,11.5679,0.45823
-10.9704,0.995117,1.09977,1,3,0,11.2847,0.575333
-11.8443,0.781692,1.09977,1,3,0,12.0036,0.397989
